ticker,sector,GICS Sub-Industry,stock_name
MMM,Industrials,Industrial Conglomerates,3M
AOS,Industrials,Building Products,A. O. Smith
ABT,Health Care,Health Care Equipment,Abbott Laboratories
ABBV,Health Care,Biotechnology,AbbVie
ACN,Information Technology,IT Consulting & Other Services,Accenture
ADBE,Information Technology,Application Software,Adobe Inc.
AMD,Information Technology,Semiconductors,Advanced Micro Devices
AES,Utilities,Independent Power Producers & Energy Traders,AES Corporation
AFL,Financials,Life & Health Insurance,Aflac
A,Health Care,Life Sciences Tools & Services,Agilent Technologies
APD,Materials,Industrial Gases,Air Products
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Airbnb
AKAM,Information Technology,Internet Services & Infrastructure,Akamai Technologies
ALB,Materials,Specialty Chemicals,Albemarle Corporation
ARE,Real Estate,Office REITs,Alexandria Real Estate Equities
ALGN,Health Care,Health Care Supplies,Align Technology
ALLE,Industrials,Building Products,Allegion
LNT,Utilities,Electric Utilities,Alliant Energy
ALL,Financials,Property & Casualty Insurance,Allstate
GOOGL,Communication Services,Interactive Media & Services,Alphabet Inc. (Class A)
GOOG,Communication Services,Interactive Media & Services,Alphabet Inc. (Class C)
MO,Consumer Staples,Tobacco,Altria
AMZN,Consumer Discretionary,Broadline Retail,Amazon
AMCR,Materials,Paper & Plastic Packaging Products & Materials,Amcor
AEE,Utilities,Multi-Utilities,Ameren
AEP,Utilities,Electric Utilities,American Electric Power
AXP,Financials,Consumer Finance,American Express
AIG,Financials,Multi-line Insurance,American International Group
AMT,Real Estate,Telecom Tower REITs,American Tower
AWK,Utilities,Water Utilities,American Water Works
AMP,Financials,Asset Management & Custody Banks,Ameriprise Financial
AME,Industrials,Electrical Components & Equipment,Ametek
AMGN,Health Care,Biotechnology,Amgen
APH,Information Technology,Electronic Components,Amphenol
ADI,Information Technology,Semiconductors,Analog Devices
AON,Financials,Insurance Brokers,Aon plc
APA,Energy,Oil & Gas Exploration & Production,APA Corporation
APO,Financials,Asset Management & Custody Banks,Apollo Global Management
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.
AMAT,Information Technology,Semiconductor Materials & Equipment,Applied Materials
APP,Information Technology,Application Software,AppLovin
APTV,Consumer Discretionary,Automotive Parts & Equipment,Aptiv
ACGL,Financials,Property & Casualty Insurance,Arch Capital Group
ADM,Consumer Staples,Agricultural Products & Services,Archer Daniels Midland
ARES,Financials,Asset Management & Custody Banks,Ares Management
ANET,Information Technology,Communications Equipment,Arista Networks
AJG,Financials,Insurance Brokers,Arthur J. Gallagher & Co.
AIZ,Financials,Multi-line Insurance,Assurant
T,Communication Services,Integrated Telecommunication Services,AT&T
ATO,Utilities,Gas Utilities,Atmos Energy
ADSK,Information Technology,Application Software,Autodesk
ADP,Industrials,Human Resource & Employment Services,Automatic Data Processing
AZO,Consumer Discretionary,Automotive Retail,AutoZone
AVB,Real Estate,Multi-Family Residential REITs,AvalonBay Communities
AVY,Materials,Paper & Plastic Packaging Products & Materials,Avery Dennison
AXON,Industrials,Aerospace & Defense,Axon Enterprise
BKR,Energy,Oil & Gas Equipment & Services,Baker Hughes
BALL,Materials,"Metal, Glass & Plastic Containers",Ball Corporation
BAC,Financials,Diversified Banks,Bank of America
BAX,Health Care,Health Care Equipment,Baxter International
BDX,Health Care,Health Care Equipment,Becton Dickinson
BBY,Consumer Discretionary,Computer & Electronics Retail,Best Buy
TECH,Health Care,Life Sciences Tools & Services,Bio-Techne
BIIB,Health Care,Biotechnology,Biogen
BLK,Financials,Asset Management & Custody Banks,BlackRock
BX,Financials,Asset Management & Custody Banks,Blackstone Inc.
XYZ,Financials,Transaction & Payment Processing Services,"Block, Inc."
BNY,Financials,Asset Management & Custody Banks,BNY Mellon
BA,Industrials,Aerospace & Defense,Boeing
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Booking Holdings
BSX,Health Care,Health Care Equipment,Boston Scientific
BMY,Health Care,Pharmaceuticals,Bristol Myers Squibb
AVGO,Information Technology,Semiconductors,Broadcom
BR,Industrials,Data Processing & Outsourced Services,Broadridge Financial Solutions
BRO,Financials,Insurance Brokers,Brown & Brown
BLDR,Industrials,Building Products,Builders FirstSource
BG,Consumer Staples,Agricultural Products & Services,Bunge Global
BXP,Real Estate,Office REITs,"BXP, Inc."
CHRW,Industrials,Air Freight & Logistics,C.H. Robinson
CDNS,Information Technology,Application Software,Cadence Design Systems
CPT,Real Estate,Multi-Family Residential REITs,Camden Property Trust
COF,Financials,Consumer Finance,Capital One
CAH,Health Care,Health Care Distributors,Cardinal Health
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Carnival Corporation
CARR,Industrials,Building Products,Carrier Global
CVNA,Consumer Discretionary,Automotive Retail,Carvana
CASY,Consumer Staples,Food Retail,Casey's
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,Caterpillar Inc.
CBOE,Financials,Financial Exchanges & Data,Cboe Global Markets
CBRE,Real Estate,Real Estate Services,CBRE Group
CDW,Information Technology,Technology Distributors,CDW Corporation
COR,Health Care,Health Care Distributors,Cencora
CNC,Health Care,Managed Health Care,Centene Corporation
CNP,Utilities,Multi-Utilities,CenterPoint Energy
CF,Materials,Fertilizers & Agricultural Chemicals,CF Industries
CRL,Health Care,Life Sciences Tools & Services,Charles River Laboratories
SCHW,Financials,Investment Banking & Brokerage,Charles Schwab Corporation
CHTR,Communication Services,Cable & Satellite,Charter Communications
CVX,Energy,Integrated Oil & Gas,Chevron Corporation
CMG,Consumer Discretionary,Restaurants,Chipotle Mexican Grill
CB,Financials,Property & Casualty Insurance,Chubb Limited
CHD,Consumer Staples,Household Products,Church & Dwight
CIEN,Information Technology,Communications Equipment,Ciena
CI,Health Care,Health Care Services,Cigna
CINF,Financials,Property & Casualty Insurance,Cincinnati Financial
CTAS,Industrials,Diversified Support Services,Cintas
CSCO,Information Technology,Communications Equipment,Cisco
C,Financials,Diversified Banks,Citigroup
CFG,Financials,Regional Banks,Citizens Financial Group
CLX,Consumer Staples,Household Products,Clorox
CME,Financials,Financial Exchanges & Data,CME Group
CMS,Utilities,Multi-Utilities,CMS Energy
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Coca-Cola Company (The)
CTSH,Information Technology,IT Consulting & Other Services,Cognizant
COHR,Information Technology,Electronic Components,Coherent Corp.
COIN,Financials,Financial Exchanges & Data,Coinbase
CL,Consumer Staples,Household Products,Colgate-Palmolive
CMCSA,Communication Services,Cable & Satellite,Comcast
FIX,Industrials,Construction & Engineering,Comfort Systems USA
CAG,,,
COP,Energy,Oil & Gas Exploration & Production,ConocoPhillips
ED,Utilities,Multi-Utilities,Consolidated Edison
STZ,Consumer Staples,Distillers & Vintners,Constellation Brands
CEG,Utilities,Electric Utilities,Constellation Energy
COO,Health Care,Health Care Supplies,Cooper Companies (The)
CPRT,Industrials,Diversified Support Services,Copart
GLW,Information Technology,Electronic Components,Corning Inc.
CPAY,Financials,Transaction & Payment Processing Services,Corpay
CTVA,Materials,Fertilizers & Agricultural Chemicals,Corteva
CSGP,Real Estate,Real Estate Services,CoStar Group
COST,Consumer Staples,Consumer Staples Merchandise Retail,Costco
CRH,Materials,Construction Materials,CRH plc
CRWD,Information Technology,Systems Software,CrowdStrike
CCI,Real Estate,Telecom Tower REITs,Crown Castle
CSX,Industrials,Rail Transportation,CSX Corporation
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,Cummins
CVS,Health Care,Health Care Services,CVS Health
DHR,Health Care,Life Sciences Tools & Services,Danaher Corporation
DRI,Consumer Discretionary,Restaurants,Darden Restaurants
DDOG,Information Technology,Application Software,Datadog
DVA,Health Care,Health Care Services,DaVita
DECK,Consumer Discretionary,Footwear,Deckers Brands
DE,Industrials,Agricultural & Farm Machinery,Deere & Company
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",Dell Technologies
DAL,Industrials,Passenger Airlines,Delta Air Lines
DVN,Energy,Oil & Gas Exploration & Production,Devon Energy
DXCM,Health Care,Health Care Equipment,Dexcom
FANG,Energy,Oil & Gas Exploration & Production,Diamondback Energy
DLR,Real Estate,Data Center REITs,Digital Realty
DG,Consumer Staples,Consumer Staples Merchandise Retail,Dollar General
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,Dollar Tree
D,Utilities,Multi-Utilities,Dominion Energy
DPZ,Consumer Discretionary,Restaurants,Domino's
DASH,Consumer Discretionary,Specialized Consumer Services,DoorDash
DOV,Industrials,Industrial Machinery & Supplies & Components,Dover Corporation
DOW,Materials,Commodity Chemicals,Dow Inc.
DHI,Consumer Discretionary,Homebuilding,D. R. Horton
DTE,Utilities,Multi-Utilities,DTE Energy
DUK,Utilities,Electric Utilities,Duke Energy
DD,Materials,Specialty Chemicals,DuPont
ETN,Industrials,Electrical Components & Equipment,Eaton Corporation
EBAY,Consumer Discretionary,Broadline Retail,eBay Inc.
ECHO,Communication Services,Wireless Telecommunication Services,EchoStar
ECL,Materials,Specialty Chemicals,Ecolab
EIX,Utilities,Electric Utilities,Edison International
EW,Health Care,Health Care Equipment,Edwards Lifesciences
EA,Communication Services,Interactive Home Entertainment,Electronic Arts
ELV,Health Care,Managed Health Care,Elevance Health
EME,Industrials,Construction & Engineering,Emcor
EMR,Industrials,Electrical Components & Equipment,Emerson Electric
ETR,Utilities,Electric Utilities,Entergy
EOG,Energy,Oil & Gas Exploration & Production,EOG Resources
EQT,Energy,Oil & Gas Exploration & Production,EQT Corporation
EFX,Industrials,Research & Consulting Services,Equifax
EQIX,Real Estate,Data Center REITs,Equinix
EQR,Real Estate,Multi-Family Residential REITs,Equity Residential
ERIE,Financials,Insurance Brokers,Erie Indemnity
ESS,Real Estate,Multi-Family Residential REITs,Essex Property Trust
EL,Consumer Staples,Personal Care Products,Estée Lauder Companies (The)
EG,Financials,Reinsurance,Everest Group
EVRG,Utilities,Electric Utilities,Evergy
ES,Utilities,Electric Utilities,Eversource Energy
EXC,Utilities,Electric Utilities,Exelon
EXE,Energy,Oil & Gas Exploration & Production,Expand Energy
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Expedia Group
EXPD,Industrials,Air Freight & Logistics,Expeditors International
EXR,Real Estate,Self-Storage REITs,Extra Space Storage
XOM,Energy,Integrated Oil & Gas,ExxonMobil
FFIV,Information Technology,Communications Equipment,"F5, Inc."
FDS,Financials,Financial Exchanges & Data,FactSet
FICO,Information Technology,Application Software,Fair Isaac
FAST,Industrials,Trading Companies & Distributors,Fastenal
FRT,Real Estate,Retail REITs,Federal Realty Investment Trust
FDX,Industrials,Air Freight & Logistics,FedEx
FDXF,Industrials,Cargo Ground Transportation,FedEx Freight
FIS,Financials,Transaction & Payment Processing Services,Fidelity National Information Services
FITB,Financials,Regional Banks,Fifth Third Bancorp
FSLR,Information Technology,Semiconductors,First Solar
FE,Utilities,Electric Utilities,FirstEnergy
FISV,Financials,Transaction & Payment Processing Services,Fiserv
FLEX,Information Technology,Electronic Manufacturing Services,Flex Ltd.
F,Consumer Discretionary,Automobile Manufacturers,Ford Motor Company
FTNT,Information Technology,Systems Software,Fortinet
FTV,Industrials,Industrial Machinery & Supplies & Components,Fortive
FOXA,Communication Services,Broadcasting,Fox Corporation (Class A)
FOX,Communication Services,Broadcasting,Fox Corporation (Class B)
BEN,Financials,Asset Management & Custody Banks,Franklin Resources
FCX,Materials,Copper,Freeport-McMoRan
GRMN,Consumer Discretionary,Consumer Electronics,Garmin
IT,Information Technology,IT Consulting & Other Services,Gartner
GE,Industrials,Aerospace & Defense,GE Aerospace
GEHC,Health Care,Health Care Equipment,GE HealthCare
GEV,Industrials,Heavy Electrical Equipment,GE Vernova
GEN,Information Technology,Systems Software,Gen Digital
GNRC,Industrials,Heavy Electrical Equipment,Generac
GD,Industrials,Aerospace & Defense,General Dynamics
GIS,Consumer Staples,Packaged Foods & Meats,General Mills
GM,Consumer Discretionary,Automobile Manufacturers,General Motors
GPC,Consumer Discretionary,Distributors,Genuine Parts Company
GILD,Health Care,Biotechnology,Gilead Sciences
GPN,Financials,Transaction & Payment Processing Services,Global Payments
GL,Financials,Life & Health Insurance,Globe Life
GDDY,Information Technology,Internet Services & Infrastructure,GoDaddy
GS,Financials,Investment Banking & Brokerage,Goldman Sachs
HAL,Energy,Oil & Gas Equipment & Services,Halliburton
HIG,Financials,Property & Casualty Insurance,Hartford (The)
HAS,Consumer Discretionary,Leisure Products,Hasbro
HCA,Health Care,Health Care Facilities,HCA Healthcare
DOC,Real Estate,Health Care REITs,Healthpeak Properties
HSIC,Health Care,Health Care Distributors,Henry Schein
HSY,Consumer Staples,Packaged Foods & Meats,Hershey Company (The)
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",Hewlett Packard Enterprise
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Hilton Worldwide
HD,Consumer Discretionary,Home Improvement Retail,Home Depot (The)
HON,Industrials,Industrial Conglomerates,Honeywell Technologies
HRL,Consumer Staples,Packaged Foods & Meats,Hormel Foods
HST,Real Estate,Hotel & Resort REITs,Host Hotels & Resorts
HWM,Industrials,Aerospace & Defense,Howmet Aerospace
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",HP Inc.
HUBB,Industrials,Industrial Machinery & Supplies & Components,Hubbell Incorporated
HUM,Health Care,Managed Health Care,Humana
HBAN,Financials,Regional Banks,Huntington Bancshares
HII,Industrials,Aerospace & Defense,Huntington Ingalls Industries
IBM,Information Technology,IT Consulting & Other Services,IBM
IEX,Industrials,Industrial Machinery & Supplies & Components,IDEX Corporation
IDXX,Health Care,Health Care Equipment,Idexx Laboratories
ITW,Industrials,Industrial Machinery & Supplies & Components,Illinois Tool Works
INCY,Health Care,Biotechnology,Incyte
IR,Industrials,Industrial Machinery & Supplies & Components,Ingersoll Rand
PODD,Health Care,Health Care Equipment,Insulet Corporation
INTC,Information Technology,Semiconductors,Intel
IBKR,Financials,Investment Banking & Brokerage,Interactive Brokers
ICE,Financials,Financial Exchanges & Data,Intercontinental Exchange
IFF,Materials,Specialty Chemicals,International Flavors & Fragrances
IP,Materials,Paper & Plastic Packaging Products & Materials,International Paper
INTU,Information Technology,Application Software,Intuit
ISRG,Health Care,Health Care Equipment,Intuitive Surgical
IVZ,Financials,Asset Management & Custody Banks,Invesco
INVH,Real Estate,Single-Family Residential REITs,Invitation Homes
IQV,Health Care,Life Sciences Tools & Services,IQVIA
IRM,Real Estate,Other Specialized REITs,Iron Mountain
JBHT,Industrials,Cargo Ground Transportation,J.B. Hunt
JBL,Information Technology,Electronic Manufacturing Services,Jabil
JKHY,Financials,Transaction & Payment Processing Services,Jack Henry & Associates
J,Industrials,Construction & Engineering,Jacobs Solutions
JNJ,Health Care,Pharmaceuticals,Johnson & Johnson
JCI,Industrials,Building Products,Johnson Controls
JPM,Financials,Diversified Banks,JPMorgan Chase
KVUE,Consumer Staples,Personal Care Products,Kenvue
KDP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Keurig Dr Pepper
KEY,Financials,Regional Banks,KeyCorp
KEYS,Information Technology,Electronic Equipment & Instruments,Keysight Technologies
KMB,Consumer Staples,Household Products,Kimberly-Clark
KIM,Real Estate,Retail REITs,Kimco Realty
KMI,Energy,Oil & Gas Storage & Transportation,Kinder Morgan
KKR,Financials,Asset Management & Custody Banks,KKR & Co.
KLAC,Information Technology,Semiconductor Materials & Equipment,KLA Corporation
KHC,Consumer Staples,Packaged Foods & Meats,Kraft Heinz
KR,Consumer Staples,Food Retail,Kroger
LHX,Industrials,Aerospace & Defense,L3Harris
LH,Health Care,Health Care Services,Labcorp
LRCX,Information Technology,Semiconductor Materials & Equipment,Lam Research
LVS,Consumer Discretionary,Casinos & Gaming,Las Vegas Sands
LDOS,Industrials,Diversified Support Services,Leidos
LEN,Consumer Discretionary,Homebuilding,Lennar
LII,Industrials,Building Products,Lennox International
LLY,Health Care,Pharmaceuticals,Lilly (Eli)
LIN,Materials,Industrial Gases,Linde plc
LYV,Communication Services,Movies & Entertainment,Live Nation Entertainment
LMT,Industrials,Aerospace & Defense,Lockheed Martin
L,Financials,Multi-line Insurance,Loews Corporation
LOW,Consumer Discretionary,Home Improvement Retail,Lowe's
LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Lululemon Athletica
LITE,Information Technology,Communications Equipment,Lumentum
LYB,Materials,Specialty Chemicals,LyondellBasell
MTB,Financials,Regional Banks,M&T Bank
MPC,Energy,Oil & Gas Refining & Marketing,Marathon Petroleum
MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Marriott International
MRSH,Financials,Insurance Brokers,Marsh McLennan
MLM,Materials,Construction Materials,Martin Marietta Materials
MRVL,Information Technology,Semiconductors,Marvell Technology
MAS,Industrials,Building Products,Masco
MA,Financials,Transaction & Payment Processing Services,Mastercard
MKC,Consumer Staples,Packaged Foods & Meats,McCormick & Company
MCD,Consumer Discretionary,Restaurants,McDonald's
MCK,Health Care,Health Care Distributors,McKesson Corporation
MDT,Health Care,Health Care Equipment,Medtronic
MRK,Health Care,Pharmaceuticals,Merck & Co.
META,Communication Services,Interactive Media & Services,Meta Platforms
MET,Financials,Life & Health Insurance,MetLife
MTD,Health Care,Life Sciences Tools & Services,Mettler Toledo
MGM,Consumer Discretionary,Casinos & Gaming,MGM Resorts
MCHP,Information Technology,Semiconductors,Microchip Technology
MU,Information Technology,Semiconductors,Micron Technology
MSFT,Information Technology,Systems Software,Microsoft
MAA,Real Estate,Multi-Family Residential REITs,Mid-America Apartment Communities
MRNA,Health Care,Biotechnology,Moderna
TAP,Consumer Staples,Brewers,Molson Coors Beverage Company
MDLZ,Consumer Staples,Packaged Foods & Meats,Mondelez International
MPWR,Information Technology,Semiconductors,Monolithic Power Systems
MNST,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Monster Beverage
MCO,Financials,Financial Exchanges & Data,Moody's Corporation
MS,Financials,Investment Banking & Brokerage,Morgan Stanley
MOS,Materials,Fertilizers & Agricultural Chemicals,Mosaic Company (The)
MSI,Information Technology,Communications Equipment,Motorola Solutions
MSCI,Financials,Financial Exchanges & Data,MSCI Inc.
NDAQ,Financials,Financial Exchanges & Data,"Nasdaq, Inc."
